"jurisdiction","state","regime_type","permit_fee","renewal_cadence","ordinance_or_program_url","enforcement_vendor","notes","source_url","collected_on"
"Arvada","Colorado","permit","","annual","https://leg.colorado.gov/bills/hb24-1299","MUNIRevs","Arvada's 2026 short-term rental rules explained, including the new natural-person permit law, licensing costs, taxes, and how strictly the city enforces them.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Arvada-Colorado-guide","2026-09-03"
"Aspen","Colorado","license","","annually","","","Aspen, Colorado Short Term Rental Regulations Guide for Airbnb hosts Aspen, Colorado Regulations > Colorado > Aspen Want to see how Aspen compares to other top cities in Colorado ? Explore all city regulations in Colorado . → C Aspen , CO Challenging To Investors License support Talk to a local licensing expert Get connected with a short-term rental regulations and licensing expert for Aspen . Con","https://strprofitmap.com/regulations/CO/aspen","2026-09-03"
"Boulder","Colorado","license","$215","four-year","https://bouldercolorado.gov/occupancy-limits","Avenu","Boulder requires a four-year, $215 city license, caps you at one license per owner, and excludes investment property, LLCs, and most ADUs. Boulder, Colorado short-term rental rules for 2026, including the principal-residence license, the new Sundance festival license, and every tax layer.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Boulder-Colorado-guide","2026-09-03"
"Breckenridge","Colorado","license","","annual","","","Breckenridge, Colorado Short Term Rental Regulations Guide for Airbnb hosts Breckenridge, Colorado Regulations > Colorado > Breckenridge Want to see how Breckenridge compares to other top cities in Colorado ? Explore all city regulations in Colorado . → C Breckenridge , CO Challenging To Investors License support Talk to a local licensing expert Get connected with a short-term rental regulations a","https://strprofitmap.com/regulations/CO/breckenridge","2026-09-03"
"Centennial","Colorado","license","","annual","https://content.leg.colorado.gov/sites/default/files/r25-881-shortterm-rentals-accessible.pdf","","Centennial, Colorado short-term rental rules for 2026: STR licensing, occupancy and parking limits, the 6.75% sales tax, and how strictly the city enforces it.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Centennial-Colorado-guide","2026-09-03"
"Crested Butte","Colorado","license","","annually","","","Crested Butte, Colorado Short Term Rental Regulations Guide for Airbnb hosts Crested Butte, Colorado Regulations > Colorado > Crested Butte Want to see how Crested Butte compares to other top cities in Colorado ? Explore all city regulations in Colorado . → B Crested Butte , CO Generally Investor Friendly License support Talk to a local licensing expert Get connected with a short-term rental regul","https://strprofitmap.com/regulations/CO/crested-butte","2026-09-03"
"Denver","Colorado","license","$50","annual","https://content.leg.colorado.gov/sites/default/files/r25-881-shortterm-rentals-accessible.pdf","","Denver requires a short-term rental license from the Department of Licensing and Consumer Protection, costing $50 to apply plus $100 a year, and platforms are legally barred from processing bookings for unlicensed listin Denver's 2026 short-term rental rules for Airbnb and Vrbo hosts: the primary residence requirement, licensing fees, lodger's tax, and enforcement.","https://www.bnbcalc.com/blog/short-term-rental-regulation/denver-colorado-guide","2026-09-03"
"Denver County","Colorado","ban / prohibited","$150","","https://content.leg.colorado.gov/sites/default/files/r25-881-shortterm-rentals-accessible.pdf","","You license it through the Department of Licensing and Consumer Protection for $150 a year, carry $1 million in insurance, and collect the 10.75% lodger's tax. Denver County, Colorado short-term rental rules in 2026: the primary-residence catch, what the license costs, the 10.75% lodger's tax, and who to call.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Denver-County-Colorado-Guide","2026-09-03"
"Fort Collins","Colorado","license","$150","two-year","https://content.leg.colorado.gov/publications/short-term-rentals","","You need an STR license ($150, then $100 a year), liability insurance, off-street parking, and a sales and lodging tax account. Fort Collins short-term rental rules for 2026, covering STR license costs, the Primary versus Non-Primary zoning split, taxes, and enforcement.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Fort-Collins-Colorado-guide","2026-09-03"
"Greeley","Colorado","permit","","annually","https://greeleyco.gov/business/business-operations/business-licenses-and-resources/","","Greeley, Colorado short-term rental rules for 2026, including zoning, the business license, three tax layers, and what the city still hasn't finalized.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Greeley-Colorado-guide","2026-09-03"
"Steamboat Springs","Colorado","license","","annually","","","Steamboat Springs, Colorado Short Term Rental Regulations Guide for Airbnb hosts Steamboat Springs, Colorado Regulations > Colorado > Steamboat Springs Want to see how Steamboat Springs compares to other top cities in Colorado ? Explore all city regulations in Colorado . → C Steamboat Springs , CO Challenging To Investors License support Talk to a local licensing expert Get connected with a short-","https://strprofitmap.com/regulations/CO/steamboat-springs","2026-09-03"
"Telluride","Colorado","license","","annual","","","Telluride, Colorado Short Term Rental Regulations Guide for Airbnb hosts Telluride, Colorado Regulations > Colorado > Telluride Want to see how Telluride compares to other top cities in Colorado ? Explore all city regulations in Colorado . → C Telluride , CO Challenging To Investors License support Talk to a local licensing expert Get connected with a short-term rental regulations and licensing ex","https://strprofitmap.com/regulations/CO/telluride","2026-09-03"
"Vail","Colorado","license","","three-year","","","Vail, Colorado Short Term Rental Regulations Guide for Airbnb hosts Vail, Colorado Regulations > Colorado > Vail Want to see how Vail compares to other top cities in Colorado ? Explore all city regulations in Colorado . → B Vail , CO Generally Investor Friendly License support Talk to a local licensing expert Get connected with a short-term rental regulations and licensing expert for Vail . Connec","https://strprofitmap.com/regulations/CO/vail","2026-09-03"
"Branford","Connecticut","permit","","annual","https://jud.ct.gov/external/supapp/summaries/docket/20839.htm","","Branford passed its first short-term rental ordinance in 2025 and opened registration in 2026. What a permit costs, who qualifies, and where it's banned.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Branford-Connecticut-Guide","2026-09-03"
"Bridgeport","Connecticut","permit","$65","","https://portal.ct.gov/-/media/CSC/1_Dockets-medialibrary/1_MEDIA_DO500_600/DO516/ApplicantSubmissions/Application/UI---City-of-Bridgeport-Zoning-Code-Amended-July-25-2022.pdf","","Most hosts need only a $65 Certificate of Zoning Compliance, a six-adult occupancy cap, and Connecticut's 15% room occupancy tax registration. Bridgeport's 2026 short-term rental rules, how the zoning code splits Airbnb and Vrbo into two types, what filing costs, and the state tax that applies.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Bridgeport-Connecticut-guide","2026-09-03"
"Danbury","Connecticut","permit","","","https://portal.ct.gov/drs/taxes/room-occupancy/tax-information","Avenu","Danbury, Connecticut has no dedicated short-term rental ordinance in 2026, though state tax and a recent court ruling shape what Airbnb hosts actually owe.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Danbury-Connecticut-guide","2026-09-03"
"East Lyme","Connecticut","permit","","annually","https://codelibrary.amlegal.com/codes/eastlyme/latest/eastlyme_ct/0-0-0-2062","Avenu; Granicus","East Lyme, Connecticut short-term rental rules in 2026: no town permit or registration, what the zoning code says, and the 15% state room occupancy tax.","https://www.bnbcalc.com/blog/short-term-rental-regulation/East-Lyme-Connecticut-Guide","2026-09-03"
"Groton","Connecticut","permit (primary-residence limited)","","annual","https://ecode360.com/GR2123","Avenu","Groton's 2026 short-term rental rules, including which of the four zoning authorities covers your address and what a Groton special permit really takes.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Groton-Connecticut-Guide","2026-09-03"
"Hartford","Connecticut","permit","","","https://portal.ct.gov/-/media/DRS/Publications/pubssn/2019/SN-2019(9).pdf","","Hartford, Connecticut short-term rental rules for 2026, the zoning permit costs, the 21-day cap, Connecticut's 15% room tax, and the 2024 state law change.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Hartford-Connecticut-guide","2026-09-03"
"New Haven","Connecticut","no permit (tax registration only)","","annual","https://newhaven-ct.legistar.com/View.ashx?M=F&amp;ID=14007697&amp;GUID=DA10D904-D9A9-49C5-8CC9-B9DAAFBE3524","","New Haven's 2026 short-term rental rules, why the city still has no STR ordinance, when the rental license actually applies, and Connecticut's tax layers.","https://www.bnbcalc.com/blog/short-term-rental-regulation/New-Haven-Connecticut-guide","2026-09-03"
"Rehoboth Beach","Delaware","license","","annual","","","Rehoboth Beach, Delaware Short Term Rental Regulations Guide for Airbnb hosts Rehoboth Beach, Delaware Regulations > Delaware > Rehoboth Beach Want to see how Rehoboth Beach compares to other top cities in Delaware ? Explore all city regulations in Delaware . → B Rehoboth Beach , DE Generally Investor Friendly License support Talk to a local licensing expert Get connected with a short-term rental ","https://strprofitmap.com/regulations/DE/rehoboth-beach","2026-09-03"
"Wilmington","Delaware","permit (primary-residence limited)","","annually","https://delcode.delaware.gov/title30/c062/index.html","","Wilmington, Delaware short-term rental rules in 2026, why the zoning code and actual practice don't match, and what the state's tax layer costs hosts.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Wilmington-Delaware-guide","2026-09-03"
"Washington","District of Columbia","license","","two-year","https://app.leg.wa.gov/RCW/default.aspx?cite=64.37&amp;full=true","","Washington, D.C.'s primary-residence STR license, 90-night vacation rental cap, and 15.95% lodging tax, explained plainly for Airbnb hosts in 2026.","https://www.bnbcalc.com/blog/short-term-rental-regulation/washington-district-of-columbia-guide","2026-09-03"
"Aventura","Florida","license","","annually","https://library.municode.com/fl/aventura/codes/code_of_ordinances?nodeId=PTIICOOR_CH18BURETAPE_ARTIILOBUTA","Avenu","Aventura wrote no vacation rental ordinance, so in 2026 the state license, a 13% tax stack and your condo declaration decide whether you can host.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Aventura-Florida-Guide","2026-09-03"
"Boynton Beach","Florida","license","$525","annual","https://library.municode.com/fl/boynton_beach/codes/code_of_ordinances?nodeId=CH13LI_ARTIBUTARECEUSOC_S13-10DUDA","Avenu","What Boynton Beach asks of Airbnb and Vrbo hosts in 2026, from the $525 city license and yearly inspection to occupancy caps and a 12.5% tax stack. What Boynton Beach asks of Airbnb and Vrbo hosts in 2026, from the $525 city license and yearly inspection to occupancy caps and a 12.5% tax stack.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Boynton-Beach-Florida-guide","2026-09-03"
"Bradenton","Florida","registration","$250","annual","https://www.flsenate.gov/Committees/billsummaries/2025/html/606","Avenu; Granicus; Granicus Host Compliance; Host Compliance","Bradenton short-term rental rules for 2026: the city's $250 registration, occupancy caps, Manatee County tourist tax, and how strictly it gets enforced. Bradenton short-term rental rules for 2026: the city's $250 registration, occupancy caps, Manatee County tourist tax, and how strictly it gets enforced.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Bradenton-Florida-guide","2026-09-03"
"Brevard County","Florida","ban / prohibited","","annual","https://brevardfl.legistar.com/ViewReport.ashx?M=R&amp;N=Text&amp;GID=755&amp;ID=4108647&amp;GUID=2D6A63DE-1AD4-442C-9EB7-7F3988945646&amp;Title=Legislation+Text","","Brevard County, Florida short-term rental rules in 2026: the 90-day resort-dwelling zoning rule, where nightly stays are allowed, and what the taxes cost.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Brevard-County-Florida-Guide","2026-09-03"
"Brickell","Florida","permit","","annual","https://library.municode.com/fl/miami/codes/code_of_ordinances?nodeId=PTIITHCO_CH2AD_ARTIVDE_DIV2PLBUZODE_S2-207ZOCEUSREANREBUPRFEINISCE","Avenu","Brickell short-term rental rules in 2026, including why the City of Miami makes you convert the unit to lodging, what it costs, and the 13% tax stack.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Brickell-Florida-Guide","2026-09-03"
"Broward County","Florida","license","","annual","https://cdn.pompanobeachfl.gov/city/pages/btr/short-term_rental_app.pdf","Avenu","How Broward County short-term rental rules work in 2026, why county rules only cover unincorporated areas, the 13% tax stack, and the DBPR license.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Broward-County-Florida-Guide","2026-09-03"
"Cape Coral","Florida","license","$350","annual","https://www.capecoral.gov/Documents/Departments/City%20Clerk/Business%20Tax%20Receipts/Vacation%20Rentals%20Application.pdf","Avalara; MyLodgeTax","Cape Coral's 2026 short-term rental rules: the new $350 registration fee, the Vacation Rental Certificate, Lee County's tourist tax, and real enforcement. Cape Coral's 2026 short-term rental rules: the new $350 registration fee, the Vacation Rental Certificate, Lee County's tourist tax, and real enforcement.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Cape-Coral-Florida-guide","2026-09-03"
"Casselberry","Florida","permit","","annual","https://casselberry.elaws.us/code/coor_ptii_ch26_artii_sec26-33","Avenu; Harmari","Casselberry has no short-term rental ordinance in 2026, so the costs sit above the city: a Florida state license, 7% to the state, 5% to Seminole County.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Casselberry-Florida-Guide","2026-09-03"
"Celebration","Florida","permit","","annual","https://celebration.fl.us/celebration-contact/","Avenu","Short-term rentals stay off the table in Celebration, Florida in 2026. Osceola County zoning, the CROA one-year lease rule, taxes, fines and who to call.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Celebration-Florida-Guide","2026-09-03"
"Clearwater","Florida","license","","annually","https://clearwater.legistar.com/View.ashx?GUID=B5C463B4-A555-4DBB-A1B4-BEBA8048DACE&amp;ID=14999386&amp;M=F","Avenu","Clearwater's 31-day minimum blocks most short-term rentals in 2026, but the Tourist District, licensing rules, and a 13% tax stack still open a legal path.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Clearwater-Florida-guide","2026-09-03"
"Clermont","Florida","permit","$375","annual","https://library.municode.com/fl/clermont/codes/code_of_ordinances?nodeId=SPAGEOR_CH34TA_ARTIVRE","","Clermont's 2026 vacation rental rules for Airbnb and Vrbo hosts: the city permit, the $375 start-up cost, life safety inspection, and 11% lodging tax. Clermont's 2026 vacation rental rules for Airbnb and Vrbo hosts: the city permit, the $375 start-up cost, life safety inspection, and 11% lodging tax.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Clermont-Florida-Guide","2026-09-03"
"Cocoa Beach","Florida","registration","","annual","https://www.brevardclerk.us/tourist-de","","Cocoa Beach short-term rental rules for 2026, including the new citywide registration, per-guest fees, occupancy caps, and every tax layer hosts owe.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Cocoa-Beach-Florida-Guide","2026-09-03"
"Coconut Creek","Florida","permit","$250","each year","https://coconutcreek.legistar.com/LegislationDetail.aspx?ID=4758464&amp;GUID=57A0EBAC-5C20-4069-92FA-51407363ED42","Avenu","Coconut Creek allows Airbnb and Vrbo rentals in 2026, though every vacation rental needs a $250 city registration, an inspection, and a four-guest cap. Coconut Creek allows Airbnb and Vrbo rentals in 2026, though every vacation rental needs a $250 city registration, an inspection, and a four-guest cap.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Coconut-Creek-Florida-Guide","2026-09-03"
"Collier County","Florida","license","$50","annual","https://www.collier.gov/Resident-Resources/Leisure-and-Community/Short-Term-Vacation-Rental-Registration","","Collier County short-term rental rules in 2026: the $50 registration for unincorporated areas, plus why Naples and Marco Island are carved out and stricter. Collier County short-term rental rules in 2026: the $50 registration for unincorporated areas, plus why Naples and Marco Island are carved out and stricter.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Collier-County-Florida-Guide","2026-09-03"
"Coral Gables","Florida","permit","","annually","https://www.flsenate.gov/Committees/billsummaries/2025/html/606","Avenu","Coral Gables bans short-term rentals in every residential zone in 2026. What the zoning code allows, what the daily fines cost, and the 13% tax stack.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Coral-Gables-Florida-Guide","2026-09-03"
"Coral Springs","Florida","license","$314.52","yearly","https://edr.state.fl.us/content/local-government/data/county-municipal/LDSS25-26.pdf","Avenu","Registration costs $314.52, renews yearly by September 30, and violations draw fines and an escalating suspension of the license. Coral Springs Airbnb rules in 2026, including the 16 guest cap, noise device mandate, registration fees and the taxes that stack on top of a booking.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Coral-Springs-Florida-guide","2026-09-03"
"Dania Beach","Florida","license","$875","annual","https://library.municode.com/fl/dania_beach/codes/code_of_ordinances?nodeId=PTIICOOR_CH16VARE","Avenu","Dania Beach short-term rental rules in 2026, including the five night minimum stay, the $875 vacation rental certificate, inspections, and the 13% tax stack. Dania Beach short-term rental rules in 2026, including the five night minimum stay, the $875 vacation rental certificate, inspections, and the 13% tax stack.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Dania-Beach-Florida-Guide","2026-09-03"
"Davenport","Florida","license","","annual","https://library.municode.com/fl/davenport/codes/code_of_ordinances","Avenu","Davenport's city code barely touches short-term rentals in 2026, yet a Davenport address often means Polk County rules and a public hearing instead.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Davenport-Florida-Guide","2026-09-03"
"Davie","Florida","license","$500","annual","https://www.davie-fl.gov/DocumentCenter/View/18605/Code-of-Ordinances-Article-IX-Vacation-Rentals","Avenu","Registration costs $500 a year, expires every September 30, and violations carry real fines and suspension. Davie, Florida short-term rental rules for 2026: Chapter 16 registration, fees, occupancy caps, taxes and penalties for Airbnb and Vrbo hosts.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Davie-Florida-guide","2026-09-03"
"Deerfield Beach","Florida","license","$100","annual","https://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&amp;URL=0500-0599/0509/Sections/0509.032.html","Avenu","You'll need a $100 city registration, a Business Tax Receipt, Broward County tourist tax registration, and a Florida DBPR vacation rental license before you can legally list on Airbnb or Vrbo in 2026. Deerfield Beach short-term rental rules for 2026: city registration, life-safety standards, and the three tax layers Broward County hosts actually pay.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Deerfield-Beach-Florida-guide","2026-09-03"
"Deltona","Florida","license","","four-year","https://deltona.elaws.us/code/coor_appa","","Deltona short-term rental rules for 2026, including why the city has no vacation rental license, what taxes apply, and who enforces what.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Deltona-Florida-guide","2026-09-03"
"Destin","Florida","permit / registration","","annual","","","Destin has implemented a detailed short-term rental registration system that permits STR operations in specific zoning districts while maintaining oversight to balance tourism benefits with neighborhood quality of life. The city requires annual registration, property-size based fees, mandatory signage, and compliance with occupancy limits. Destin allows STRs in designated mixed-use and residential","https://strprofitmap.com/regulations/FL/destin","2026-09-03"
"Doral","Florida","registration","","annual","https://library.municode.com/fl/doral/codes/code_of_ordinances?nodeId=SPAGEOR_CH26MIOF_ARTIISEOF_S26-23SEOFSEPRREPRPEEX","","Doral's 2026 short-term rental rules explained: the seven-day minimum, the three-registration cap, the 13% tax stack, and what enforcement costs.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Doral-Florida-Guide","2026-09-03"
"Duval County","Florida","permit","","annual","https://coab.us/m/newsflash/home/detail/1577","","Duval County short-term rental rules in 2026: no Jacksonville permit, a 13.5% tax stack you remit yourself, and three beach towns with very different answers.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Duval-County-Florida-Guide","2026-09-03"
"Eustis","Florida","permit","","annual","https://library.municode.com/fl/eustis/codes/code_of_ordinances?nodeId=SPAGEOR_CH1GEPR_S1-14GEPE","Avenu","Eustis has no vacation rental ordinance in 2026, so hosting is legal. Here's the DBPR license, the city business tax receipt, and the 11% tax stack.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Eustis-Florida-Guide","2026-09-03"
"Fernandina Beach","Florida","permit","$300","annual","https://www.fbfl.us/1125/File-a-Complaint","","Approved hosts need a $300 Resort Rental Dwelling Permit plus a state vacation rental license, and owe a combined 12% tax on every stay in 2026. Fernandina Beach caps Airbnb and Vrbo to R-3 zoning and a small grandfathered pocket. This 2026 guide covers permit costs, taxes, and enforcement.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Fernandina-Beach-Florida","2026-09-03"
"Fort Lauderdale","Florida","license","$880","annual","https://stlucievillagefl.gov/wp-content/uploads/2023/03/Fort-Lauderdale-ARTICLE_X.___VACATION_RENTAL.pdf","Avenu","Fort Lauderdale short-term rental rules for 2026, covering the city's $880 registration, condo and HOA bans, the combined 13% tax, and real penalties. Fort Lauderdale short-term rental rules for 2026, covering the city's $880 registration, condo and HOA bans, the combined 13% tax, and real penalties.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Fort-Lauderdale-Florida-guide","2026-09-03"
"Fort Myers","Florida","license","","annually","https://fortmyers.gov/1295/Code-Enforcement","","Fort Myers has no vacation rental ordinance in 2026, so hosting comes down to a state DBPR license, 11.5% in taxes, and two separate business tax receipts.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Fort-Myers-Florida-guide","2026-09-03"
"Gainesville","Florida","no permit (tax registration only)","","four-year","https://gainesville.legistar.com/LegislationDetail.aspx?ID=3716376&amp;GUID=2A82D1D2-2E6B-4177-B545-89AD4553E38D","Avenu","Gainesville short-term rental rules for 2026, including why the city dropped its own permit in 2021 and what county and state taxes still apply.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Gainesville-Florida-guide","2026-09-03"
"Groveland","Florida","permit","$25","","https://groveland-fl.gov/133/Community-Economic-Development","Avenu","Groveland, Florida short-term rental rules in 2026: the zones that allow it, the $25 city rental license, the inspection, and Lake County's 11% tax stack. Groveland, Florida short-term rental rules in 2026: the zones that allow it, the $25 city rental license, the inspection, and Lake County's 11% tax stack.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Groveland-Florida-Guide","2026-09-03"
"Haines City","Florida","permit","$100","annual","https://www.flsenate.gov/Committees/billsummaries/2025/html/606","","Haines City short-term rental rules in 2026: the four communities where Airbnb is legal, the new $100 city registration, and every tax layer. Haines City short-term rental rules in 2026: the four communities where Airbnb is legal, the new $100 city registration, and every tax layer.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Haines-City-Florida-Guide","2026-09-03"
"Hallandale Beach","Florida","license","","annual","https://hallandalebeachfl.gov/1031/Forms","","Hallandale Beach vacation rental rules in 2026: the registration, the certificate of use inspection, every fee, and the 13% tax stack on each booking.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Hallandale-Beach-Florida-Guide","2026-09-03"
"Key West","Florida","license","$490","annual","","","Key West, Florida Short Term Rental Regulations Guide for Airbnb hosts Key West, Florida Regulations > Florida > Key West Want to see how Key West compares to other top cities in Florida ? Explore all city regulations in Florida . → C Key West , FL Challenging To Investors License support Talk to a local licensing expert Get connected with a short-term rental regulations and licensing expert for K","https://strprofitmap.com/regulations/FL/key-west","2026-09-03"
"Kissimmee","Florida","license","","every year","https://library.municode.com/fl/kissimmee/codes/code_of_ordinances?nodeId=PTIICOGEOR_CH16COEN_ARTIISPMA","","Kissimmee's short-term rental rules in 2026: the zoning districts that allow them, the conditional use hearing, the $50 receipt and the 13.5% tax stack.","https://www.bnbcalc.com/blog/short-term-rental-regulation/kissimmee-florida-guide","2026-09-03"
"Miami Beach","Florida","unclear","","annual","https://apps.miamibeachfl.gov/practicesaferenting","Avenu","Miami Beach short-term rental rules in 2026, why most homes can't legally list, which buildings can, the real taxes, and the fines that stick.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Miami-Beach-Florida-guide","2026-09-03"
"Miami-Dade County","Florida","license","","annual","https://gisweb.miamidade.gov/landmanagement/","","How Miami-Dade County short-term rental rules work in 2026: the county Certificate of Use, the 34 cities with their own laws, and the 13 percent tax stack.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Miami-Dade-County-Florida-Guide","2026-09-03"
"Orlando","Florida","registration","","annual","https://digitalpermits.orlando.gov","Avenu","Orlando short-term rental rules for 2026: why whole-home Airbnb is zoned out of most neighborhoods, Home Share registration costs, and the taxes that apply.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Orlando-Florida-guide","2026-09-03"
"Panama City Beach","Florida","license","","annual","","","Panama City Beach, Florida Short Term Rental Regulations Guide for Airbnb hosts Panama City Beach, Florida Regulations > Florida > Panama City Beach Want to see how Panama City Beach compares to other top cities in Florida ? Explore all city regulations in Florida . → B Panama City Beach , FL Generally Investor Friendly License support Talk to a local licensing expert Get connected with a short-te","https://strprofitmap.com/regulations/FL/panama-city-beach","2026-09-03"
"Santa Rosa Beach","Florida","license","","annual","https://gis.mywaltonfl.gov/","","Santa Rosa Beach short-term rental rules for 2026: Walton County's STVR certificate, the 12% tax stack, and why ZIP 32459 keeps its own renewal date.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Santa-Rosa-Beach-Florida-Guide","2026-09-03"
"St. Petersburg","Florida","license","","annually","https://pinellas.gov/news/pinellas-county-commission-adopts-short-term-rental-ordinance/","","St. Petersburg's 2026 short-term rental rules, the three-stay cap that governs most homes, the state license, and every city, county, and state tax layer.","https://www.bnbcalc.com/blog/short-term-rental-regulation/St-Petersburg-Florida-guide","2026-09-03"
"Tallahassee","Florida","license","","annually","https://library.municode.com/fl/leon_county/ordinances/code_of_ordinances?nodeId=384718","","Tallahassee short-term rental rules for 2026, including why there's no city license, what Florida's DBPR permit costs, and how Leon County's tourist tax works.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Tallahassee-Florida-guide","2026-09-03"
"Tampa","Florida","license","","annual","https://www.flsenate.gov/Committees/billsummaries/2025/html/606","","Tampa short-term rental rules in 2026: the state license, city business tax receipt, and the three tax layers every host needs to know before listing.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Tampa-Florida-guide","2026-09-03"
"Albany Park","Georgia","unclear","$50","annually","https://dor.georgia.gov/document/document/general-rate-chart-effective-july-1-2026-through-september-30-2026pdf/download","Avenu","You need a $50 short-term vacation rental certificate from Planning and Development Services, a separate occupation tax certificate, adjacent-owner notice, and you owe the city's 8% hotel occupancy tax plus state taxes. Albany, Georgia's 2026 short-term rental rules, including the new city certificate, occupation tax, and the 8% hotel tax hosts owe.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Albany-Georgia-guide","2026-09-03"
"Athens-Clarke County","Georgia","permit (primary-residence limited)","","","https://dor.georgia.gov/contact-us","Avenu","Athens-Clarke County short-term rental rules in 2026: two permit lanes, a five-year grandfather clock, three tax layers, and how enforcement works.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Athens-Clarke-County-Georgia-guide","2026-09-03"
"Atlanta","Georgia","permit (primary-residence limited)","$150","annual","https://dor.georgia.gov/document/document/general-rate-chart-effective-july-1-2026-through-september-30-2026pdf/download","","Atlanta, Georgia short-term rental rules for 2026, including the $150 STRL license, the 8% city tax, and the changes city council is still debating. Atlanta, Georgia short-term rental rules for 2026, including the $150 STRL license, the 8% city tax, and the changes city council is still debating.","https://www.bnbcalc.com/blog/short-term-rental-regulation/atlanta-georgia-guide","2026-09-03"
"Augusta-Richmond County","Georgia","permit","","annual","https://dor.georgia.gov/document/document/general-rate-chart-effective-july-1-2026-through-september-30-2026pdf/download","","Augusta-Richmond County short-term rental rules in 2026, the 6% hotel-motel tax, business licensing, and why the city still has no dedicated STR ordinance.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Augusta-Richmond-County-Georgia-guide","2026-09-03"
"Chatham County","Georgia","permit","$350","annually","https://buildingsafety.chathamcountyga.gov/","","Chatham County short-term rental rules in 2026, including the pause on new county licenses, the $350 certificate, Savannah's ward caps and every tax layer. Chatham County short-term rental rules in 2026, including the pause on new county licenses, the $350 certificate, Savannah's ward caps and every tax layer.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Chatham-County-Georgia-Guide","2026-09-03"
"Columbus","Georgia","permit","$40","","https://columbusga.gov/inscode/Short-Term-Vacation-Rentals","Avenu","Expect a $40 permit fee, $500,000 liability insurance, background checks on the owner, applicant and 24/7 contact, and roughly 17 percent combined lodging tax plus a $5 nightly state fee. Columbus, Georgia short-term rental rules for 2026: the STR permit process, required documents, three tax layers, and how enforcement actually works.","https://www.bnbcalc.com/blog/short-term-rental-regulation/Columbus-Georgia-guide","2026-09-03"
"DeKalb County","Georgia","license","$175","annual","https://dekalbcountyga.gov/news/short-term-rentals-program-goes-live-may-20-2026","Deckard; Rentalscape","DeKalb County short-term rental rules in 2026, including the new $175 license that went live in May, the 8% excise tax, who collects it, and who to call. DeKalb County short-term rental rules in 2026, including the new $175 license that went live in May, the 8% excise tax, who collects it, and who to call.","https://www.bnbcalc.com/blog/short-term-rental-regulation/DeKalb-County-Georgia-Guide","2026-09-03"
